area,is_weekday,time_period_min,pole_id,ave_time_period_min,trans_amt,time_period_min_per_pole,ave_time_period_min_per_pole
Marina,True,9883536.0,213,29340.49001120253,18988146,46401.57746478873,137.74877939531706
Little Italy,True,6962096.0,258,24094.662065042925,15254938,26984.868217054263,93.39016304280203
Core - Columbia,True,951176.0,40,3398.1852423583728,1951039,23779.4,84.95463105895932
Columbia,True,2968109.0,134,11950.2944373997,5879954,22150.067164179105,89.18130177163955
Gaslamp,True,4382570.0,219,20045.81064424082,8493216,20011.73515981735,91.53338193717269
East Village,True,15035943.0,810,92650.38576038078,27347657,18562.892592592594,114.3831922967664
Hillcrest,True,9389275.0,513,40850.27127143066,17778538,18302.68031189084,79.63015842384145
College,True,83440.0,5,405.43845804512006,158511,16688.0,81.087691609024
Core,True,2414991.0,155,11658.360504805212,4841015,15580.587096774194,75.21522906325943
Mission Hills,True,1481589.0,110,7461.098883460545,2957303,13468.99090909091,67.82817166782314
Cortez Hill,True,3472753.0,271,34925.51966757637,5480253,12814.586715867159,128.8764563379202
Five Points,True,852361.0,70,4387.358459220586,1659112,12176.585714285715,62.676549417436945
Bankers Hill,True,5598814.0,480,35230.16528702175,11400324,11664.195833333333,73.39617768129531
North Park,True,891603.0,78,4566.5090448666415,1776591,11430.807692307691,58.54498775470053
Cortez,True,492609.0,52,3605.650899486455,983135,9473.25,69.33944037473951
University Heights,True,878630.0,97,6320.053473909181,1774651,9058.041237113403,65.15519045267197
Point Loma,True,43527.0,6,495.7984302481297,90309,7254.5,82.63307170802162
Golden Hill,True,78784.0,12,402.8735522883251,156366,6565.333333333333,33.57279602402709
Barrio Logan,True,127927.0,22,1955.4047464210437,258174,5814.863636363636,88.88203392822926
Talmadge,True,163867.0,33,1333.7886427057965,332063,4965.666666666667,40.41783765775141
Midtown,True,8786.0,14,1848.8850574712644,14514,627.5714285714286,132.0632183908046
