area,is_weekday,time_period_min,pole_id,ave_time_period_min,trans_amt,time_period_min_per_pole,ave_time_period_min_per_pole
Marina,False,2210454.0,212,28069.40401123681,3916956,10426.669811320755,132.4028491096076
Little Italy,False,1652490.0,258,25141.368678437815,3687091,6405.0,97.44716542030162
Gaslamp,False,903307.0,197,19093.35127353732,1681530,4585.314720812183,96.92056484029096
Columbia,False,606594.0,133,12436.031058012268,1261980,4560.857142857143,93.50399291738547
Hillcrest,False,2179171.0,507,44356.027166657506,4114037,4298.167652859961,87.48723307033039
East Village,False,2964947.0,809,92289.46773163544,5506599,3664.953028430161,114.07845207865938
College,False,17444.0,5,393.7984226252519,33015,3488.8,78.75968452505037
Five Points,False,237691.0,70,4983.458971468858,459248,3395.5857142857144,71.19227102098368
Core - Columbia,False,131233.0,40,3234.7200479159865,285082,3280.825,80.86800119789966
Mission Hills,False,345121.0,109,8378.27686933812,676714,3166.2477064220184,76.86492540677175
North Park,False,238435.0,78,5257.628261977412,465729,3056.858974358974,67.40549053817195
Core,False,405531.0,152,11770.582719193264,844462,2667.967105263158,77.43804420521884
Bankers Hill,False,1104832.0,477,40131.659011813936,2227832,2316.20964360587,84.13345704782796
Point Loma,False,13299.0,6,501.1875,27299,2216.5,83.53125
Cortez Hill,False,538311.0,271,31886.441062627706,849460,1986.3874538745388,117.66214414253766
University Heights,False,182281.0,97,6611.771207772389,369805,1879.1855670103093,68.16258977084937
Golden Hill,False,18361.0,12,456.62356962165086,36410,1530.0833333333333,38.051964135137574
Cortez,False,56021.0,52,3418.8989423515645,119904,1077.326923076923,65.74805658368393
Barrio Logan,False,23341.0,22,1974.9133909588272,47973,1060.9545454545455,89.76879049812851
Talmadge,False,31886.0,33,1442.9407782040191,65638,966.2424242424242,43.72547812739452
Midtown,False,3136.0,11,1445.3166666666666,5150,285.09090909090907,131.39242424242423
