area,is_weekday,time_period_min,pole_id,ave_time_period_min,trans_amt,time_period_min_per_pole,ave_time_period_min_per_pole
Bankers Hill,False,1275619.0,633,42650.242573570875,2624136,2015.1958925750396,67.37795035319253
Bankers Hill,True,8112308.0,681,44428.706054380425,16326522,11912.346549192363,65.24039068190959
Barrio Logan,False,38346.0,29,2823.0432485544657,79342,1322.2758620689656,97.34631891567123
Barrio Logan,True,240953.0,29,2936.329050867667,487464,8308.724137931034,101.25272589198852
College,False,41978.0,5,315.06820834609283,81019,8395.6,63.013641669218565
College,True,203340.0,5,312.33647887357375,391258,40668.0,62.46729577471475
Columbia,False,1219610.0,153,13260.203949065997,2522277,7971.307189542484,86.66799966709802
Columbia,True,4853058.0,155,11842.585562206104,9814054,31310.051612903226,76.40377782068454
Core,False,658623.0,199,12920.518816374,1349345,3309.6633165829144,64.92723023303517
Core,True,4046594.0,211,13159.627289191067,7906348,19178.170616113744,62.36790184450742
Core - Columbia,False,48640.0,35,2323.9966391643507,114008,1389.7142857142858,66.3999039761243
Core - Columbia,True,424365.0,40,2718.808590506881,897232,10609.125,67.97021476267203
Cortez,False,80052.0,49,3122.093357462162,169938,1633.7142857142858,63.71619096861556
Cortez,True,632443.0,51,3339.6133744969707,1277839,12400.843137254902,65.48261518621511
Cortez Hill,False,785437.0,293,27982.18183299947,1195877,2680.6723549488056,95.50232707508351
Cortez Hill,True,4419478.0,310,29001.40089530475,6676930,14256.38064516129,93.55290611388628
East Village,False,4352619.0,944,95328.79332362376,7892839,4610.825211864407,100.98389123265228
East Village,True,22284461.0,979,97397.21912574532,38833789,22762.472931562817,99.48643424488797
Five Points,False,422863.0,75,3879.255973982252,876247,5638.173333333333,51.72341298643003
Five Points,True,1405026.0,75,3388.9886891564224,2897974,18733.68,45.18651585541897
Gaslamp,False,1256579.0,302,22053.679819540423,2403542,4160.85761589404,73.02542986602789
Gaslamp,True,6826360.0,331,24004.03854655905,13307560,20623.44410876133,72.51975391709684
Golden Hill,False,27608.0,13,331.42580961421044,56105,2123.6923076923076,25.494293047246956
Golden Hill,True,148082.0,14,348.41149249547743,297449,10577.285714285714,24.886535178248387
Hillcrest,False,3476109.0,658,46101.95550752402,6574741,5282.840425531915,70.0637621694894
Hillcrest,True,16210424.0,674,44786.01385513674,30330107,24051.07418397626,66.44809177319992
Little Italy,False,3666524.0,356,28213.984947790505,7514857,10299.224719101123,79.25276670727669
Little Italy,True,14264328.0,373,27762.703200186377,29257182,38242.16621983914,74.43083967878385
Marina,False,3281911.0,232,25293.299981851764,5444925,14146.168103448275,109.02284474936106
Marina,True,15696728.0,238,26184.59728693811,26452142,65952.63865546219,110.01931633167274
Midtown,False,2126.0,10,1021.0,4625,212.6,102.1
Midtown,True,10217.0,14,1614.696544715447,19984,729.7857142857143,115.33546747967479
Mission Hills,False,479361.0,119,7800.52152474716,975049,4028.2436974789916,65.55060104829546
Mission Hills,True,2028160.0,126,7300.701656118985,4106434,16096.507936507936,57.94207663586496
North Park,False,425022.0,129,6512.635514052943,850639,3294.7441860465115,50.48554662056545
North Park,True,1624392.0,129,5963.828986860438,3287423,12592.186046511628,46.23123245628246
Point Loma,False,35901.0,6,593.9307491289198,71204,5983.5,98.9884581881533
Point Loma,True,98245.0,6,546.7587775303983,207562,16374.166666666666,91.12646292173305
Talmadge,False,46583.0,34,1207.9886358354076,99703,1370.0882352941176,35.529077524570816
Talmadge,True,290860.0,35,1184.62054263752,604037,8310.285714285714,33.846301218214855
University Heights,False,337502.0,109,6908.381895994833,689599,3096.348623853211,63.37965042197094
University Heights,True,1339651.0,109,6149.5943309235,2746777,12290.37614678899,56.41829661397706
