area,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,pole_id
Bankers Hill,275959,538992,711373,798013,841116,797047,694952,634613,654205,697712,0,480
Barrio Logan,8052,14992,18072,21217,20921,17885,13671,11315,11052,10416,0,22
College,6591,8411,8413,9688,9853,10982,10869,11138,11866,11306,0,5
Columbia,268964,377441,364672,377908,376177,377295,362005,349415,318175,307258,0,134
Core,185421,276045,290767,306427,299069,296207,285709,279029,266059,265266,0,155
Core - Columbia,69279,112694,116255,118012,116597,117459,112532,107227,94247,94365,0,40
Cortez,30130,61594,73032,69489,66083,64529,58492,45991,33699,38622,0,52
Cortez Hill,231013,385492,474143,502596,488760,452418,408422,365721,326025,297910,0,271
East Village,821771,1410051,1753057,1949325,2011089,2004978,1930098,1879065,1866598,1848207,0,810
Five Points,11014,18520,31979,98794,185811,204510,165976,126926,112279,131617,0,70
Gaslamp,84862,229256,475025,574744,510485,532513,516452,517242,516440,524681,0,219
Golden Hill,5597,7597,9465,11368,14062,12318,9686,7711,9022,9462,0,12
Hillcrest,120389,455214,1032144,1313381,1279754,1284272,1188935,1067546,998511,1047070,0,513
Little Italy,393272,680150,825487,933678,996679,998750,941804,899101,939608,917624,0,258
Marina,474446,814851,1117557,1252455,1229136,1274881,1238878,1168397,1141207,1094922,0,213
Midtown,235,478,1393,2036,1583,1472,1442,1083,940,1198,0,14
Mission Hills,50313,120316,178470,209737,250440,234740,191912,173373,197082,210028,0,110
North Park,41755,84022,115291,134857,143386,138442,118156,105088,111232,116148,0,78
Point Loma,600,2573,4663,6012,7990,7848,6137,4800,6799,9343,0,6
Talmadge,3878,13941,24533,26514,26531,24644,20881,19497,18737,15630,0,33
University Heights,50661,79606,91932,110314,122955,120475,111302,102593,114973,141951,0,97
